101 EQSim_Input_Friction_2 1
102 End_Metadata
120 200 summary 4    Record 200: Fault friction summary
121 1 n_element 1    Field 1: Total number of elements in the file
121 2 elastic_flag 1    Field 2: 1 if elastic parameters (record 201) are included, 0 if not
121 3 strength_flag 1    Field 3: 1 if fault strength (record 202) is included, 0 if not
121 4 rate_state_flag 1    Field 4: 1 if rate-state parameters (record 203) are included, 0 if not
120 201 elastic_param 2    Record 201: Elastic parameters
121 1 lame_lambda 2    Field 1: Lame modulus lambda (Pascal)
121 2 lame_mu 2    Field 2: Lame modulus mu, also known as the shear modulus (Pascal)
120 202 fault_strength 3    Record 202: Fault strength
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 static_strength 2    Field 2: Element static yield strength (Pascal)
121 3 dynamic_strength 2    Field 3: Element dynamic sliding strength (Pascal)
120 203 rate_state 6    Record 203: Rate-state parameters
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 A 2    Field 2: Element rate-state parameter A
121 3 B 2    Field 3: Element rate-state parameter B
121 4 L 2    Field 4: Element rate-state characteristic distance L (meters)
121 5 f0 2    Field 5: Element rate-state friction coefficient f0
121 6 V0 2    Field 6: Element rate-state reference velocity V0 (meters/second)
103 End_Descriptor
200 21833 1 1 0
202 380 2.2616e+07 0
202 381 2.2616e+07 0
202 382 2.2616e+07 0
202 383 2.2616e+07 0
202 384 2.2616e+07 0
202 385 2.2616e+07 0
202 386 2.2616e+07 0
202 387 2.2616e+07 0
202 388 2.2616e+07 0
202 389 2.2616e+07 0
202 390 2.2616e+07 0
202 391 2.2616e+07 0
202 392 2.2616e+07 0
202 393 2.2616e+07 0
202 394 2.2616e+07 0
202 395 2.2616e+07 0
202 396 2.2616e+07 0
202 397 2.2616e+07 0
202 398 2.2616e+07 0
202 399 2.2616e+07 0
202 400 2.2616e+07 0
202 401 2.2616e+07 0
202 402 2.2616e+07 0
202 403 2.2616e+07 0
202 404 2.2616e+07 0
202 405 2.2616e+07 0
202 406 2.2616e+07 0
202 407 2.2616e+07 0
202 408 2.2616e+07 0
202 409 2.2616e+07 0
202 410 2.2616e+07 0
202 411 2.2616e+07 0
202 412 2.2616e+07 0
202 413 2.2616e+07 0
202 414 2.2616e+07 0
202 415 2.2616e+07 0
202 416 2.2616e+07 0
202 417 2.2616e+07 0
202 418 2.2616e+07 0
202 419 2.2616e+07 0
202 420 2.2616e+07 0
202 421 2.2616e+07 0
202 422 2.2616e+07 0
202 423 2.2616e+07 0
202 424 2.2616e+07 0
202 425 2.2616e+07 0
202 426 2.2616e+07 0
202 427 2.2616e+07 0
202 428 2.2616e+07 0
202 429 2.2616e+07 0
202 430 2.2616e+07 0
202 431 2.2616e+07 0
202 432 2.2616e+07 0
202 433 2.2616e+07 0
202 434 2.2616e+07 0
202 435 2.2616e+07 0
202 436 2.2616e+07 0
202 437 2.2616e+07 0
202 438 2.2616e+07 0
202 439 2.2616e+07 0
202 440 2.2616e+07 0
202 441 2.2616e+07 0
202 442 2.2616e+07 0
202 443 2.2616e+07 0
202 444 2.2616e+07 0
202 445 2.2616e+07 0
202 446 2.2616e+07 0
202 447 2.2616e+07 0
202 448 2.2616e+07 0
202 449 2.2616e+07 0
202 450 2.2616e+07 0
202 451 2.2616e+07 0
202 452 2.2616e+07 0
202 453 2.2616e+07 0
202 454 2.2616e+07 0
202 455 2.2616e+07 0
202 456 2.2616e+07 0
202 457 2.2616e+07 0
202 458 2.2616e+07 0
202 459 2.2616e+07 0
202 460 2.2616e+07 0
202 461 2.2616e+07 0
202 462 2.2616e+07 0
202 463 2.2616e+07 0
202 464 2.2616e+07 0
202 465 2.2616e+07 0
202 466 2.2616e+07 0
202 467 2.2616e+07 0
202 468 2.2616e+07 0
202 469 2.2616e+07 0
202 470 2.2616e+07 0
202 471 2.2616e+07 0
202 472 2.2616e+07 0
202 473 2.2616e+07 0
202 474 2.2616e+07 0
202 475 2.2616e+07 0
202 476 2.2616e+07 0
202 477 2.2616e+07 0
202 478 2.2616e+07 0
202 479 2.2616e+07 0
202 480 2.2616e+07 0
202 481 2.2616e+07 0
202 482 2.2616e+07 0
202 483 2.2616e+07 0
202 484 2.2616e+07 0
202 485 2.2616e+07 0
202 486 2.2616e+07 0
202 487 2.2616e+07 0
202 488 2.2616e+07 0
202 489 2.2616e+07 0
202 490 2.2616e+07 0
202 491 2.2616e+07 0
202 492 2.2616e+07 0
202 493 2.2616e+07 0
202 494 2.2616e+07 0
202 495 2.2616e+07 0
202 496 2.2616e+07 0
202 497 2.2616e+07 0
202 498 2.2616e+07 0
202 499 2.2616e+07 0
202 500 2.2616e+07 0
202 501 2.2616e+07 0
202 502 2.2616e+07 0
202 503 2.2616e+07 0
202 504 2.2616e+07 0
202 505 2.2616e+07 0
202 506 2.2616e+07 0
202 507 2.2616e+07 0
202 508 2.2616e+07 0
202 509 2.2616e+07 0
202 510 2.2616e+07 0
202 511 2.2616e+07 0
202 512 2.2616e+07 0
202 513 2.2616e+07 0
202 514 2.2616e+07 0
202 515 2.2616e+07 0
202 516 2.2616e+07 0
202 517 2.2616e+07 0
202 518 2.2616e+07 0
202 519 2.2616e+07 0
202 520 2.2616e+07 0
202 521 2.2616e+07 0
202 522 2.2616e+07 0
202 523 2.2616e+07 0
202 524 2.2616e+07 0
202 525 2.2616e+07 0
202 526 2.2616e+07 0
202 527 2.2616e+07 0
202 528 2.2616e+07 0
202 529 2.2616e+07 0
202 530 2.2616e+07 0
202 531 2.2616e+07 0
202 532 2.2616e+07 0
202 533 2.2616e+07 0
202 534 2.2616e+07 0
202 535 2.2616e+07 0
202 536 2.2616e+07 0
202 537 2.2616e+07 0
202 538 2.2616e+07 0
202 539 2.2616e+07 0
202 540 2.2616e+07 0
202 541 2.2616e+07 0
202 542 2.2616e+07 0
202 543 2.2616e+07 0
202 544 2.2616e+07 0
202 545 2.2616e+07 0
202 546 2.2616e+07 0
202 547 2.2616e+07 0
202 548 2.2616e+07 0
202 549 2.2616e+07 0
202 550 2.2616e+07 0
202 551 2.2616e+07 0
202 552 2.2616e+07 0
202 553 2.2616e+07 0
202 554 2.2616e+07 0
202 555 2.2616e+07 0
